Value,Period,Reference Area,Industry Section,Measure Type,Unit
100.1,quarter/2015 Q2,Yorkshire and The Humber,Q,Indices 2016=100,Indices 2016=100
100.2,quarter/2015 Q2,Yorkshire and The Humber,R,Indices 2016=100,Indices 2016=100
106.8,quarter/2015 Q2,Yorkshire and The Humber,S,Indices 2016=100,Indices 2016=100
88.3,quarter/2015 Q2,Yorkshire and The Humber,T,Indices 2016=100,Indices 2016=100
99.4,quarter/2015 Q3,Yorkshire and The Humber,A_T,Indices 2016=100,Indices 2016=100
111.1,quarter/2015 Q3,Yorkshire and The Humber,A,Indices 2016=100,Indices 2016=100
101.3,quarter/2015 Q3,Yorkshire and The Humber,B_E,Indices 2016=100,Indices 2016=100
160.6,quarter/2015 Q3,Yorkshire and The Humber,B,Indices 2016=100,Indices 2016=100
101.5,quarter/2015 Q3,Yorkshire and The Humber,C,Indices 2016=100,Indices 2016=100
98.4,quarter/2015 Q3,Yorkshire and The Humber,D,Indices 2016=100,Indices 2016=100
99.2,quarter/2015 Q3,Yorkshire and The Humber,E,Indices 2016=100,Indices 2016=100
95.2,quarter/2015 Q3,Yorkshire and The Humber,F,Indices 2016=100,Indices 2016=100
99.2,quarter/2015 Q3,Yorkshire and The Humber,G_T,Indices 2016=100,Indices 2016=100
92.4,quarter/2015 Q3,Yorkshire and The Humber,G,Indices 2016=100,Indices 2016=100
98.2,quarter/2015 Q3,Yorkshire and The Humber,H,Indices 2016=100,Indices 2016=100
104.8,quarter/2015 Q3,Yorkshire and The Humber,I,Indices 2016=100,Indices 2016=100
95.1,quarter/2015 Q3,Yorkshire and The Humber,J,Indices 2016=100,Indices 2016=100
104.4,quarter/2015 Q3,Yorkshire and The Humber,K,Indices 2016=100,Indices 2016=100
99.3,quarter/2015 Q3,Yorkshire and The Humber,L,Indices 2016=100,Indices 2016=100
98.1,quarter/2015 Q3,Yorkshire and The Humber,M,Indices 2016=100,Indices 2016=100
93.9,quarter/2015 Q3,Yorkshire and The Humber,N,Indices 2016=100,Indices 2016=100
107.4,quarter/2015 Q3,Yorkshire and The Humber,O,Indices 2016=100,Indices 2016=100
103.8,quarter/2015 Q3,Yorkshire and The Humber,P,Indices 2016=100,Indices 2016=100
99.6,quarter/2015 Q3,Yorkshire and The Humber,Q,Indices 2016=100,Indices 2016=100
99.9,quarter/2015 Q3,Yorkshire and The Humber,R,Indices 2016=100,Indices 2016=100
104.9,quarter/2015 Q3,Yorkshire and The Humber,S,Indices 2016=100,Indices 2016=100
82.8,quarter/2015 Q3,Yorkshire and The Humber,T,Indices 2016=100,Indices 2016=100
99.6,quarter/2015 Q4,Yorkshire and The Humber,A_T,Indices 2016=100,Indices 2016=100
111.0,quarter/2015 Q4,Yorkshire and The Humber,A,Indices 2016=100,Indices 2016=100
100.7,quarter/2015 Q4,Yorkshire and The Humber,B_E,Indices 2016=100,Indices 2016=100
145.3,quarter/2015 Q4,Yorkshire and The Humber,B,Indices 2016=100,Indices 2016=100
101.6,quarter/2015 Q4,Yorkshire and The Humber,C,Indices 2016=100,Indices 2016=100
91.3,quarter/2015 Q4,Yorkshire and The Humber,D,Indices 2016=100,Indices 2016=100
101.4,quarter/2015 Q4,Yorkshire and The Humber,E,Indices 2016=100,Indices 2016=100
91.0,quarter/2015 Q4,Yorkshire and The Humber,F,Indices 2016=100,Indices 2016=100
99.9,quarter/2015 Q4,Yorkshire and The Humber,G_T,Indices 2016=100,Indices 2016=100
95.1,quarter/2015 Q4,Yorkshire and The Humber,G,Indices 2016=100,Indices 2016=100
98.5,quarter/2015 Q4,Yorkshire and The Humber,H,Indices 2016=100,Indices 2016=100
104.5,quarter/2015 Q4,Yorkshire and The Humber,I,Indices 2016=100,Indices 2016=100
96.9,quarter/2015 Q4,Yorkshire and The Humber,J,Indices 2016=100,Indices 2016=100
106.0,quarter/2015 Q4,Yorkshire and The Humber,K,Indices 2016=100,Indices 2016=100
99.7,quarter/2015 Q4,Yorkshire and The Humber,L,Indices 2016=100,Indices 2016=100
96.8,quarter/2015 Q4,Yorkshire and The Humber,M,Indices 2016=100,Indices 2016=100
96.5,quarter/2015 Q4,Yorkshire and The Humber,N,Indices 2016=100,Indices 2016=100
107.2,quarter/2015 Q4,Yorkshire and The Humber,O,Indices 2016=100,Indices 2016=100
102.6,quarter/2015 Q4,Yorkshire and The Humber,P,Indices 2016=100,Indices 2016=100
100.2,quarter/2015 Q4,Yorkshire and The Humber,Q,Indices 2016=100,Indices 2016=100
103.1,quarter/2015 Q4,Yorkshire and The Humber,R,Indices 2016=100,Indices 2016=100
104.1,quarter/2015 Q4,Yorkshire and The Humber,S,Indices 2016=100,Indices 2016=100
104.0,quarter/2015 Q4,Yorkshire and The Humber,T,Indices 2016=100,Indices 2016=100
99.5,quarter/2016 Q1,Yorkshire and The Humber,A_T,Indices 2016=100,Indices 2016=100
104.9,quarter/2016 Q1,Yorkshire and The Humber,A,Indices 2016=100,Indices 2016=100
102.2,quarter/2016 Q1,Yorkshire and The Humber,B_E,Indices 2016=100,Indices 2016=100
117.5,quarter/2016 Q1,Yorkshire and The Humber,B,Indices 2016=100,Indices 2016=100
102.7,quarter/2016 Q1,Yorkshire and The Humber,C,Indices 2016=100,Indices 2016=100
98.2,quarter/2016 Q1,Yorkshire and The Humber,D,Indices 2016=100,Indices 2016=100
101.9,quarter/2016 Q1,Yorkshire and The Humber,E,Indices 2016=100,Indices 2016=100
89.2,quarter/2016 Q1,Yorkshire and The Humber,F,Indices 2016=100,Indices 2016=100
99.6,quarter/2016 Q1,Yorkshire and The Humber,G_T,Indices 2016=100,Indices 2016=100
98.3,quarter/2016 Q1,Yorkshire and The Humber,G,Indices 2016=100,Indices 2016=100
99.1,quarter/2016 Q1,Yorkshire and The Humber,H,Indices 2016=100,Indices 2016=100
101.5,quarter/2016 Q1,Yorkshire and The Humber,I,Indices 2016=100,Indices 2016=100
97.4,quarter/2016 Q1,Yorkshire and The Humber,J,Indices 2016=100,Indices 2016=100
104.4,quarter/2016 Q1,Yorkshire and The Humber,K,Indices 2016=100,Indices 2016=100
99.7,quarter/2016 Q1,Yorkshire and The Humber,L,Indices 2016=100,Indices 2016=100
95.5,quarter/2016 Q1,Yorkshire and The Humber,M,Indices 2016=100,Indices 2016=100
99.1,quarter/2016 Q1,Yorkshire and The Humber,N,Indices 2016=100,Indices 2016=100
102.4,quarter/2016 Q1,Yorkshire and The Humber,O,Indices 2016=100,Indices 2016=100
99.9,quarter/2016 Q1,Yorkshire and The Humber,P,Indices 2016=100,Indices 2016=100
100.2,quarter/2016 Q1,Yorkshire and The Humber,Q,Indices 2016=100,Indices 2016=100
107.4,quarter/2016 Q1,Yorkshire and The Humber,R,Indices 2016=100,Indices 2016=100
96.1,quarter/2016 Q1,Yorkshire and The Humber,S,Indices 2016=100,Indices 2016=100
89.7,quarter/2016 Q1,Yorkshire and The Humber,T,Indices 2016=100,Indices 2016=100
99.9,quarter/2016 Q2,Yorkshire and The Humber,A_T,Indices 2016=100,Indices 2016=100
101.4,quarter/2016 Q2,Yorkshire and The Humber,A,Indices 2016=100,Indices 2016=100
99.6,quarter/2016 Q2,Yorkshire and The Humber,B_E,Indices 2016=100,Indices 2016=100
96.3,quarter/2016 Q2,Yorkshire and The Humber,B,Indices 2016=100,Indices 2016=100
99.1,quarter/2016 Q2,Yorkshire and The Humber,C,Indices 2016=100,Indices 2016=100
102.7,quarter/2016 Q2,Yorkshire and The Humber,D,Indices 2016=100,Indices 2016=100
99.9,quarter/2016 Q2,Yorkshire and The Humber,E,Indices 2016=100,Indices 2016=100
103.1,quarter/2016 Q2,Yorkshire and The Humber,F,Indices 2016=100,Indices 2016=100
99.7,quarter/2016 Q2,Yorkshire and The Humber,G_T,Indices 2016=100,Indices 2016=100
99.5,quarter/2016 Q2,Yorkshire and The Humber,G,Indices 2016=100,Indices 2016=100
99.3,quarter/2016 Q2,Yorkshire and The Humber,H,Indices 2016=100,Indices 2016=100
97.8,quarter/2016 Q2,Yorkshire and The Humber,I,Indices 2016=100,Indices 2016=100
100.1,quarter/2016 Q2,Yorkshire and The Humber,J,Indices 2016=100,Indices 2016=100
98.9,quarter/2016 Q2,Yorkshire and The Humber,K,Indices 2016=100,Indices 2016=100
99.8,quarter/2016 Q2,Yorkshire and The Humber,L,Indices 2016=100,Indices 2016=100
100.9,quarter/2016 Q2,Yorkshire and The Humber,M,Indices 2016=100,Indices 2016=100
99.4,quarter/2016 Q2,Yorkshire and The Humber,N,Indices 2016=100,Indices 2016=100
98.2,quarter/2016 Q2,Yorkshire and The Humber,O,Indices 2016=100,Indices 2016=100
101.1,quarter/2016 Q2,Yorkshire and The Humber,P,Indices 2016=100,Indices 2016=100
100.2,quarter/2016 Q2,Yorkshire and The Humber,Q,Indices 2016=100,Indices 2016=100
97.3,quarter/2016 Q2,Yorkshire and The Humber,R,Indices 2016=100,Indices 2016=100
100.8,quarter/2016 Q2,Yorkshire and The Humber,S,Indices 2016=100,Indices 2016=100
106.9,quarter/2016 Q2,Yorkshire and The Humber,T,Indices 2016=100,Indices 2016=100
100.1,quarter/2016 Q3,Yorkshire and The Humber,A_T,Indices 2016=100,Indices 2016=100
98.7,quarter/2016 Q3,Yorkshire and The Humber,A,Indices 2016=100,Indices 2016=100
98.6,quarter/2016 Q3,Yorkshire and The Humber,B_E,Indices 2016=100,Indices 2016=100
93.3,quarter/2016 Q3,Yorkshire and The Humber,B,Indices 2016=100,Indices 2016=100
99.1,quarter/2016 Q3,Yorkshire and The Humber,C,Indices 2016=100,Indices 2016=100
94.6,quarter/2016 Q3,Yorkshire and The Humber,D,Indices 2016=100,Indices 2016=100
100.4,quarter/2016 Q3,Yorkshire and The Humber,E,Indices 2016=100,Indices 2016=100
103.6,quarter/2016 Q3,Yorkshire and The Humber,F,Indices 2016=100,Indices 2016=100
100.2,quarter/2016 Q3,Yorkshire and The Humber,G_T,Indices 2016=100,Indices 2016=100
101.4,quarter/2016 Q3,Yorkshire and The Humber,G,Indices 2016=100,Indices 2016=100
100.0,quarter/2016 Q3,Yorkshire and The Humber,H,Indices 2016=100,Indices 2016=100
99.2,quarter/2016 Q3,Yorkshire and The Humber,I,Indices 2016=100,Indices 2016=100
99.3,quarter/2016 Q3,Yorkshire and The Humber,J,Indices 2016=100,Indices 2016=100
98.6,quarter/2016 Q3,Yorkshire and The Humber,K,Indices 2016=100,Indices 2016=100
99.6,quarter/2016 Q3,Yorkshire and The Humber,L,Indices 2016=100,Indices 2016=100
101.8,quarter/2016 Q3,Yorkshire and The Humber,M,Indices 2016=100,Indices 2016=100
100.7,quarter/2016 Q3,Yorkshire and The Humber,N,Indices 2016=100,Indices 2016=100
99.1,quarter/2016 Q3,Yorkshire and The Humber,O,Indices 2016=100,Indices 2016=100
99.9,quarter/2016 Q3,Yorkshire and The Humber,P,Indices 2016=100,Indices 2016=100
100.6,quarter/2016 Q3,Yorkshire and The Humber,Q,Indices 2016=100,Indices 2016=100
99.1,quarter/2016 Q3,Yorkshire and The Humber,R,Indices 2016=100,Indices 2016=100
102.4,quarter/2016 Q3,Yorkshire and The Humber,S,Indices 2016=100,Indices 2016=100
104.8,quarter/2016 Q3,Yorkshire and The Humber,T,Indices 2016=100,Indices 2016=100
100.5,quarter/2016 Q4,Yorkshire and The Humber,A_T,Indices 2016=100,Indices 2016=100
95.0,quarter/2016 Q4,Yorkshire and The Humber,A,Indices 2016=100,Indices 2016=100
99.6,quarter/2016 Q4,Yorkshire and The Humber,B_E,Indices 2016=100,Indices 2016=100
92.9,quarter/2016 Q4,Yorkshire and The Humber,B,Indices 2016=100,Indices 2016=100
99.1,quarter/2016 Q4,Yorkshire and The Humber,C,Indices 2016=100,Indices 2016=100
104.5,quarter/2016 Q4,Yorkshire and The Humber,D,Indices 2016=100,Indices 2016=100
97.9,quarter/2016 Q4,Yorkshire and The Humber,E,Indices 2016=100,Indices 2016=100
104.1,quarter/2016 Q4,Yorkshire and The Humber,F,Indices 2016=100,Indices 2016=100
100.4,quarter/2016 Q4,Yorkshire and The Humber,G_T,Indices 2016=100,Indices 2016=100
100.8,quarter/2016 Q4,Yorkshire and The Humber,G,Indices 2016=100,Indices 2016=100
101.6,quarter/2016 Q4,Yorkshire and The Humber,H,Indices 2016=100,Indices 2016=100
101.5,quarter/2016 Q4,Yorkshire and The Humber,I,Indices 2016=100,Indices 2016=100
103.2,quarter/2016 Q4,Yorkshire and The Humber,J,Indices 2016=100,Indices 2016=100
98.0,quarter/2016 Q4,Yorkshire and The Humber,K,Indices 2016=100,Indices 2016=100
100.9,quarter/2016 Q4,Yorkshire and The Humber,L,Indices 2016=100,Indices 2016=100
101.8,quarter/2016 Q4,Yorkshire and The Humber,M,Indices 2016=100,Indices 2016=100
100.8,quarter/2016 Q4,Yorkshire and The Humber,N,Indices 2016=100,Indices 2016=100
100.3,quarter/2016 Q4,Yorkshire and The Humber,O,Indices 2016=100,Indices 2016=100
99.1,quarter/2016 Q4,Yorkshire and The Humber,P,Indices 2016=100,Indices 2016=100
99.1,quarter/2016 Q4,Yorkshire and The Humber,Q,Indices 2016=100,Indices 2016=100
96.3,quarter/2016 Q4,Yorkshire and The Humber,R,Indices 2016=100,Indices 2016=100
100.7,quarter/2016 Q4,Yorkshire and The Humber,S,Indices 2016=100,Indices 2016=100
98.5,quarter/2016 Q4,Yorkshire and The Humber,T,Indices 2016=100,Indices 2016=100
101.6,quarter/2017 Q1,Yorkshire and The Humber,A_T,Indices 2016=100,Indices 2016=100
103.7,quarter/2017 Q1,Yorkshire and The Humber,A,Indices 2016=100,Indices 2016=100
100.4,quarter/2017 Q1,Yorkshire and The Humber,B_E,Indices 2016=100,Indices 2016=100
102.0,quarter/2017 Q1,Yorkshire and The Humber,B,Indices 2016=100,Indices 2016=100
100.2,quarter/2017 Q1,Yorkshire and The Humber,C,Indices 2016=100,Indices 2016=100
100.3,quarter/2017 Q1,Yorkshire and The Humber,D,Indices 2016=100,Indices 2016=100
102.6,quarter/2017 Q1,Yorkshire and The Humber,E,Indices 2016=100,Indices 2016=100
107.7,quarter/2017 Q1,Yorkshire and The Humber,F,Indices 2016=100,Indices 2016=100
101.3,quarter/2017 Q1,Yorkshire and The Humber,G_T,Indices 2016=100,Indices 2016=100
102.3,quarter/2017 Q1,Yorkshire and The Humber,G,Indices 2016=100,Indices 2016=100
102.7,quarter/2017 Q1,Yorkshire and The Humber,H,Indices 2016=100,Indices 2016=100
106.4,quarter/2017 Q1,Yorkshire and The Humber,I,Indices 2016=100,Indices 2016=100
105.7,quarter/2017 Q1,Yorkshire and The Humber,J,Indices 2016=100,Indices 2016=100
97.1,quarter/2017 Q1,Yorkshire and The Humber,K,Indices 2016=100,Indices 2016=100
103.4,quarter/2017 Q1,Yorkshire and The Humber,L,Indices 2016=100,Indices 2016=100
104.0,quarter/2017 Q1,Yorkshire and The Humber,M,Indices 2016=100,Indices 2016=100
99.3,quarter/2017 Q1,Yorkshire and The Humber,N,Indices 2016=100,Indices 2016=100
101.5,quarter/2017 Q1,Yorkshire and The Humber,O,Indices 2016=100,Indices 2016=100
99.0,quarter/2017 Q1,Yorkshire and The Humber,P,Indices 2016=100,Indices 2016=100
98.8,quarter/2017 Q1,Yorkshire and The Humber,Q,Indices 2016=100,Indices 2016=100
96.4,quarter/2017 Q1,Yorkshire and The Humber,R,Indices 2016=100,Indices 2016=100
98.4,quarter/2017 Q1,Yorkshire and The Humber,S,Indices 2016=100,Indices 2016=100
92.1,quarter/2017 Q1,Yorkshire and The Humber,T,Indices 2016=100,Indices 2016=100
102.4,quarter/2017 Q2,Yorkshire and The Humber,A_T,Indices 2016=100,Indices 2016=100
103.8,quarter/2017 Q2,Yorkshire and The Humber,A,Indices 2016=100,Indices 2016=100
102.1,quarter/2017 Q2,Yorkshire and The Humber,B_E,Indices 2016=100,Indices 2016=100
112.1,quarter/2017 Q2,Yorkshire and The Humber,B,Indices 2016=100,Indices 2016=100
103.5,quarter/2017 Q2,Yorkshire and The Humber,C,Indices 2016=100,Indices 2016=100
93.2,quarter/2017 Q2,Yorkshire and The Humber,D,Indices 2016=100,Indices 2016=100
98.6,quarter/2017 Q2,Yorkshire and The Humber,E,Indices 2016=100,Indices 2016=100
111.1,quarter/2017 Q2,Yorkshire and The Humber,F,Indices 2016=100,Indices 2016=100
101.8,quarter/2017 Q2,Yorkshire and The Humber,G_T,Indices 2016=100,Indices 2016=100
103.7,quarter/2017 Q2,Yorkshire and The Humber,G,Indices 2016=100,Indices 2016=100
100.9,quarter/2017 Q2,Yorkshire and The Humber,H,Indices 2016=100,Indices 2016=100
106.9,quarter/2017 Q2,Yorkshire and The Humber,I,Indices 2016=100,Indices 2016=100
102.5,quarter/2017 Q2,Yorkshire and The Humber,J,Indices 2016=100,Indices 2016=100
102.0,quarter/2017 Q2,Yorkshire and The Humber,K,Indices 2016=100,Indices 2016=100
102.6,quarter/2017 Q2,Yorkshire and The Humber,L,Indices 2016=100,Indices 2016=100
105.0,quarter/2017 Q2,Yorkshire and The Humber,M,Indices 2016=100,Indices 2016=100
101.7,quarter/2017 Q2,Yorkshire and The Humber,N,Indices 2016=100,Indices 2016=100
102.1,quarter/2017 Q2,Yorkshire and The Humber,O,Indices 2016=100,Indices 2016=100
99.3,quarter/2017 Q2,Yorkshire and The Humber,P,Indices 2016=100,Indices 2016=100
98.3,quarter/2017 Q2,Yorkshire and The Humber,Q,Indices 2016=100,Indices 2016=100
98.5,quarter/2017 Q2,Yorkshire and The Humber,R,Indices 2016=100,Indices 2016=100
98.7,quarter/2017 Q2,Yorkshire and The Humber,S,Indices 2016=100,Indices 2016=100
91.8,quarter/2017 Q2,Yorkshire and The Humber,T,Indices 2016=100,Indices 2016=100
103.0,quarter/2017 Q3,Yorkshire and The Humber,A_T,Indices 2016=100,Indices 2016=100
101.9,quarter/2017 Q3,Yorkshire and The Humber,A,Indices 2016=100,Indices 2016=100
102.3,quarter/2017 Q3,Yorkshire and The Humber,B_E,Indices 2016=100,Indices 2016=100
117.7,quarter/2017 Q3,Yorkshire and The Humber,B,Indices 2016=100,Indices 2016=100
103.4,quarter/2017 Q3,Yorkshire and The Humber,C,Indices 2016=100,Indices 2016=100
95.8,quarter/2017 Q3,Yorkshire and The Humber,D,Indices 2016=100,Indices 2016=100
98.2,quarter/2017 Q3,Yorkshire and The Humber,E,Indices 2016=100,Indices 2016=100
107.4,quarter/2017 Q3,Yorkshire and The Humber,F,Indices 2016=100,Indices 2016=100
102.8,quarter/2017 Q3,Yorkshire and The Humber,G_T,Indices 2016=100,Indices 2016=100
105.2,quarter/2017 Q3,Yorkshire and The Humber,G,Indices 2016=100,Indices 2016=100
100.9,quarter/2017 Q3,Yorkshire and The Humber,H,Indices 2016=100,Indices 2016=100
113.7,quarter/2017 Q3,Yorkshire and The Humber,I,Indices 2016=100,Indices 2016=100
100.5,quarter/2017 Q3,Yorkshire and The Humber,J,Indices 2016=100,Indices 2016=100
101.8,quarter/2017 Q3,Yorkshire and The Humber,K,Indices 2016=100,Indices 2016=100
102.7,quarter/2017 Q3,Yorkshire and The Humber,L,Indices 2016=100,Indices 2016=100
110.6,quarter/2017 Q3,Yorkshire and The Humber,M,Indices 2016=100,Indices 2016=100
104.4,quarter/2017 Q3,Yorkshire and The Humber,N,Indices 2016=100,Indices 2016=100
102.2,quarter/2017 Q3,Yorkshire and The Humber,O,Indices 2016=100,Indices 2016=100
99.5,quarter/2017 Q3,Yorkshire and The Humber,P,Indices 2016=100,Indices 2016=100
97.8,quarter/2017 Q3,Yorkshire and The Humber,Q,Indices 2016=100,Indices 2016=100
101.2,quarter/2017 Q3,Yorkshire and The Humber,R,Indices 2016=100,Indices 2016=100
99.3,quarter/2017 Q3,Yorkshire and The Humber,S,Indices 2016=100,Indices 2016=100
92.4,quarter/2017 Q3,Yorkshire and The Humber,T,Indices 2016=100,Indices 2016=100
102.4,quarter/2017 Q4,Yorkshire and The Humber,A_T,Indices 2016=100,Indices 2016=100
100.0,quarter/2017 Q4,Yorkshire and The Humber,A,Indices 2016=100,Indices 2016=100
103.2,quarter/2017 Q4,Yorkshire and The Humber,B_E,Indices 2016=100,Indices 2016=100
112.5,quarter/2017 Q4,Yorkshire and The Humber,B,Indices 2016=100,Indices 2016=100
103.9,quarter/2017 Q4,Yorkshire and The Humber,C,Indices 2016=100,Indices 2016=100
99.9,quarter/2017 Q4,Yorkshire and The Humber,D,Indices 2016=100,Indices 2016=100
100.2,quarter/2017 Q4,Yorkshire and The Humber,E,Indices 2016=100,Indices 2016=100
102.4,quarter/2017 Q4,Yorkshire and The Humber,F,Indices 2016=100,Indices 2016=100
102.3,quarter/2017 Q4,Yorkshire and The Humber,G_T,Indices 2016=100,Indices 2016=100
104.5,quarter/2017 Q4,Yorkshire and The Humber,G,Indices 2016=100,Indices 2016=100
103.4,quarter/2017 Q4,Yorkshire and The Humber,H,Indices 2016=100,Indices 2016=100
106.4,quarter/2017 Q4,Yorkshire and The Humber,I,Indices 2016=100,Indices 2016=100
103.8,quarter/2017 Q4,Yorkshire and The Humber,J,Indices 2016=100,Indices 2016=100
103.0,quarter/2017 Q4,Yorkshire and The Humber,K,Indices 2016=100,Indices 2016=100
102.5,quarter/2017 Q4,Yorkshire and The Humber,L,Indices 2016=100,Indices 2016=100
112.6,quarter/2017 Q4,Yorkshire and The Humber,M,Indices 2016=100,Indices 2016=100
97.2,quarter/2017 Q4,Yorkshire and The Humber,N,Indices 2016=100,Indices 2016=100
103.4,quarter/2017 Q4,Yorkshire and The Humber,O,Indices 2016=100,Indices 2016=100
97.2,quarter/2017 Q4,Yorkshire and The Humber,P,Indices 2016=100,Indices 2016=100
97.9,quarter/2017 Q4,Yorkshire and The Humber,Q,Indices 2016=100,Indices 2016=100
97.9,quarter/2017 Q4,Yorkshire and The Humber,R,Indices 2016=100,Indices 2016=100
101.5,quarter/2017 Q4,Yorkshire and The Humber,S,Indices 2016=100,Indices 2016=100
87.9,quarter/2017 Q4,Yorkshire and The Humber,T,Indices 2016=100,Indices 2016=100
103.3,quarter/2018 Q1,Yorkshire and The Humber,A_T,Indices 2016=100,Indices 2016=100
98.9,quarter/2018 Q1,Yorkshire and The Humber,A,Indices 2016=100,Indices 2016=100
103.6,quarter/2018 Q1,Yorkshire and The Humber,B_E,Indices 2016=100,Indices 2016=100
106.9,quarter/2018 Q1,Yorkshire and The Humber,B,Indices 2016=100,Indices 2016=100
104.4,quarter/2018 Q1,Yorkshire and The Humber,C,Indices 2016=100,Indices 2016=100
100.3,quarter/2018 Q1,Yorkshire and The Humber,D,Indices 2016=100,Indices 2016=100
100.1,quarter/2018 Q1,Yorkshire and The Humber,E,Indices 2016=100,Indices 2016=100
100.2,quarter/2018 Q1,Yorkshire and The Humber,F,Indices 2016=100,Indices 2016=100
103.5,quarter/2018 Q1,Yorkshire and The Humber,G_T,Indices 2016=100,Indices 2016=100
105.4,quarter/2018 Q1,Yorkshire and The Humber,G,Indices 2016=100,Indices 2016=100
100.3,quarter/2018 Q1,Yorkshire and The Humber,H,Indices 2016=100,Indices 2016=100
109.7,quarter/2018 Q1,Yorkshire and The Humber,I,Indices 2016=100,Indices 2016=100
106.4,quarter/2018 Q1,Yorkshire and The Humber,J,Indices 2016=100,Indices 2016=100
106.2,quarter/2018 Q1,Yorkshire and The Humber,K,Indices 2016=100,Indices 2016=100
102.0,quarter/2018 Q1,Yorkshire and The Humber,L,Indices 2016=100,Indices 2016=100
117.4,quarter/2018 Q1,Yorkshire and The Humber,M,Indices 2016=100,Indices 2016=100
96.6,quarter/2018 Q1,Yorkshire and The Humber,N,Indices 2016=100,Indices 2016=100
102.9,quarter/2018 Q1,Yorkshire and The Humber,O,Indices 2016=100,Indices 2016=100
100.9,quarter/2018 Q1,Yorkshire and The Humber,P,Indices 2016=100,Indices 2016=100
99.2,quarter/2018 Q1,Yorkshire and The Humber,Q,Indices 2016=100,Indices 2016=100
101.7,quarter/2018 Q1,Yorkshire and The Humber,R,Indices 2016=100,Indices 2016=100
103.9,quarter/2018 Q1,Yorkshire and The Humber,S,Indices 2016=100,Indices 2016=100
87.9,quarter/2018 Q1,Yorkshire and The Humber,T,Indices 2016=100,Indices 2016=100
103.7,quarter/2018 Q2,Yorkshire and The Humber,A_T,Indices 2016=100,Indices 2016=100
95.7,quarter/2018 Q2,Yorkshire and The Humber,A,Indices 2016=100,Indices 2016=100
102.0,quarter/2018 Q2,Yorkshire and The Humber,B_E,Indices 2016=100,Indices 2016=100
116.8,quarter/2018 Q2,Yorkshire and The Humber,B,Indices 2016=100,Indices 2016=100
102.1,quarter/2018 Q2,Yorkshire and The Humber,C,Indices 2016=100,Indices 2016=100
100.0,quarter/2018 Q2,Yorkshire and The Humber,D,Indices 2016=100,Indices 2016=100
102.5,quarter/2018 Q2,Yorkshire and The Humber,E,Indices 2016=100,Indices 2016=100
106.2,quarter/2018 Q2,Yorkshire and The Humber,F,Indices 2016=100,Indices 2016=100
104.0,quarter/2018 Q2,Yorkshire and The Humber,G_T,Indices 2016=100,Indices 2016=100
107.1,quarter/2018 Q2,Yorkshire and The Humber,G,Indices 2016=100,Indices 2016=100
103.2,quarter/2018 Q2,Yorkshire and The Humber,H,Indices 2016=100,Indices 2016=100
111.3,quarter/2018 Q2,Yorkshire and The Humber,I,Indices 2016=100,Indices 2016=100
109.3,quarter/2018 Q2,Yorkshire and The Humber,J,Indices 2016=100,Indices 2016=100
105.2,quarter/2018 Q2,Yorkshire and The Humber,K,Indices 2016=100,Indices 2016=100
100.8,quarter/2018 Q2,Yorkshire and The Humber,L,Indices 2016=100,Indices 2016=100
112.1,quarter/2018 Q2,Yorkshire and The Humber,M,Indices 2016=100,Indices 2016=100
102.0,quarter/2018 Q2,Yorkshire and The Humber,N,Indices 2016=100,Indices 2016=100
100.6,quarter/2018 Q2,Yorkshire and The Humber,O,Indices 2016=100,Indices 2016=100
103.1,quarter/2018 Q2,Yorkshire and The Humber,P,Indices 2016=100,Indices 2016=100
100.0,quarter/2018 Q2,Yorkshire and The Humber,Q,Indices 2016=100,Indices 2016=100
106.8,quarter/2018 Q2,Yorkshire and The Humber,R,Indices 2016=100,Indices 2016=100
99.3,quarter/2018 Q2,Yorkshire and The Humber,S,Indices 2016=100,Indices 2016=100
90.8,quarter/2018 Q2,Yorkshire and The Humber,T,Indices 2016=100,Indices 2016=100
103.4,quarter/2018 Q3,Yorkshire and The Humber,A_T,Indices 2016=100,Indices 2016=100
93.9,quarter/2018 Q3,Yorkshire and The Humber,A,Indices 2016=100,Indices 2016=100
102.2,quarter/2018 Q3,Yorkshire and The Humber,B_E,Indices 2016=100,Indices 2016=100
112.7,quarter/2018 Q3,Yorkshire and The Humber,B,Indices 2016=100,Indices 2016=100
102.3,quarter/2018 Q3,Yorkshire and The Humber,C,Indices 2016=100,Indices 2016=100
98.6,quarter/2018 Q3,Yorkshire and The Humber,D,Indices 2016=100,Indices 2016=100
105.0,quarter/2018 Q3,Yorkshire and The Humber,E,Indices 2016=100,Indices 2016=100
106.5,quarter/2018 Q3,Yorkshire and The Humber,F,Indices 2016=100,Indices 2016=100
103.5,quarter/2018 Q3,Yorkshire and The Humber,G_T,Indices 2016=100,Indices 2016=100
103.6,quarter/2018 Q3,Yorkshire and The Humber,G,Indices 2016=100,Indices 2016=100
102.9,quarter/2018 Q3,Yorkshire and The Humber,H,Indices 2016=100,Indices 2016=100
114.0,quarter/2018 Q3,Yorkshire and The Humber,I,Indices 2016=100,Indices 2016=100
112.4,quarter/2018 Q3,Yorkshire and The Humber,J,Indices 2016=100,Indices 2016=100
104.1,quarter/2018 Q3,Yorkshire and The Humber,K,Indices 2016=100,Indices 2016=100
102.9,quarter/2018 Q3,Yorkshire and The Humber,L,Indices 2016=100,Indices 2016=100
