Geography,Period,CDID,BOP Services,Flow Directions,Measure Type,Value,Unit
K02000001,quarter/2019-Q3,FNLY,9,balances,GBP Total,3286.0,GBP (Million)
K02000001,quarter/2019-Q4,FNLY,9,balances,GBP Total,3497.0,GBP (Million)
K02000001,quarter/2020-Q1,FNLY,9,balances,GBP Total,2937.0,GBP (Million)
K02000001,year/2018,FNMZ,10,balances,GBP Total,32511.0,GBP (Million)
K02000001,year/2019,FNMZ,10,balances,GBP Total,32218.0,GBP (Million)
K02000001,quarter/2018-Q2,FNMZ,10,balances,GBP Total,7634.0,GBP (Million)
K02000001,quarter/2018-Q3,FNMZ,10,balances,GBP Total,9610.0,GBP (Million)
K02000001,quarter/2018-Q4,FNMZ,10,balances,GBP Total,7807.0,GBP (Million)
K02000001,quarter/2019-Q1,FNMZ,10,balances,GBP Total,9351.0,GBP (Million)
K02000001,quarter/2019-Q2,FNMZ,10,balances,GBP Total,9902.0,GBP (Million)
K02000001,quarter/2019-Q3,FNMZ,10,balances,GBP Total,8852.0,GBP (Million)
K02000001,quarter/2019-Q4,FNMZ,10,balances,GBP Total,4113.0,GBP (Million)
K02000001,quarter/2020-Q1,FNMZ,10,balances,GBP Total,9908.0,GBP (Million)
K02000001,year/2018,FNRB,11,balances,GBP Total,489.0,GBP (Million)
K02000001,year/2019,FNRB,11,balances,GBP Total,376.0,GBP (Million)
K02000001,quarter/2018-Q2,FNRB,11,balances,GBP Total,173.0,GBP (Million)
K02000001,quarter/2018-Q3,FNRB,11,balances,GBP Total,77.0,GBP (Million)
K02000001,quarter/2018-Q4,FNRB,11,balances,GBP Total,161.0,GBP (Million)
K02000001,quarter/2019-Q1,FNRB,11,balances,GBP Total,145.0,GBP (Million)
K02000001,quarter/2019-Q2,FNRB,11,balances,GBP Total,-30.0,GBP (Million)
K02000001,quarter/2019-Q3,FNRB,11,balances,GBP Total,48.0,GBP (Million)
K02000001,quarter/2019-Q4,FNRB,11,balances,GBP Total,213.0,GBP (Million)
K02000001,quarter/2020-Q1,FNRB,11,balances,GBP Total,196.0,GBP (Million)
K02000001,year/2018,FNRU,12,balances,GBP Total,-782.0,GBP (Million)
K02000001,year/2019,FNRU,12,balances,GBP Total,-404.0,GBP (Million)
K02000001,quarter/2018-Q2,FNRU,12,balances,GBP Total,-204.0,GBP (Million)
K02000001,quarter/2018-Q3,FNRU,12,balances,GBP Total,-102.0,GBP (Million)
K02000001,quarter/2018-Q4,FNRU,12,balances,GBP Total,-276.0,GBP (Million)
K02000001,quarter/2019-Q1,FNRU,12,balances,GBP Total,-121.0,GBP (Million)
K02000001,quarter/2019-Q2,FNRU,12,balances,GBP Total,-55.0,GBP (Million)
K02000001,quarter/2019-Q3,FNRU,12,balances,GBP Total,-148.0,GBP (Million)
K02000001,quarter/2019-Q4,FNRU,12,balances,GBP Total,-80.0,GBP (Million)
K02000001,quarter/2020-Q1,FNRU,12,balances,GBP Total,-85.0,GBP (Million)
K02000001,year/2018,IKBD,0,balances,GBP Total,109578.0,GBP (Million)
K02000001,year/2019,IKBD,0,balances,GBP Total,105470.0,GBP (Million)
K02000001,quarter/2018-Q2,IKBD,0,balances,GBP Total,26972.0,GBP (Million)
K02000001,quarter/2018-Q3,IKBD,0,balances,GBP Total,28223.0,GBP (Million)
K02000001,quarter/2018-Q4,IKBD,0,balances,GBP Total,27476.0,GBP (Million)
K02000001,quarter/2019-Q1,IKBD,0,balances,GBP Total,27467.0,GBP (Million)
K02000001,quarter/2019-Q2,IKBD,0,balances,GBP Total,27067.0,GBP (Million)
K02000001,quarter/2019-Q3,IKBD,0,balances,GBP Total,27154.0,GBP (Million)
K02000001,quarter/2019-Q4,IKBD,0,balances,GBP Total,23782.0,GBP (Million)
K02000001,quarter/2020-Q1,IKBD,0,balances,GBP Total,28114.0,GBP (Million)
